state_abbr,region,region2,state
AK,Alaska,Alaska,Alaska
KS,Midwest,Central Plains,Kansas
NE,Midwest,Central Plains,Nebraska
OK,Midwest,Central Plains,Oklahoma
MI,Midwest,Great Lakes,Michigan
OH,Midwest,Great Lakes,Ohio
WI,Midwest,Great Lakes,Wisconsin
MN,Midwest,Great Lakes,Minnesota
HI,Hawaii,Hawaii,Hawaii
NC,Southeast,Mid-Atlantic/Appalachians,North Carolina
SC,Southeast,Mid-Atlantic/Appalachians,South Carolina
VA,Southeast,Mid-Atlantic/Appalachians,Virginia
DE,Northeast,Mid-Atlantic/Appalachians,Delaware
MD,Northeast,Mid-Atlantic/Appalachians,Maryland
KY,Southeast,Mid-Atlantic/Appalachians,Kentucky
WV,Southeast,Mid-Atlantic/Appalachians,West Virginia
CT,Northeast,Northeast,Conneticut
DC,Northeast,Northeast,Washington DC
MA,Northeast,Northeast,Massachussetts
ME,Northeast,Northeast,Maine
NH,Northeast,Northeast,New Hampshire
NJ,Northeast,Northeast,New Jersey
NY,Northeast,Northeast,New York
PA,Northeast,Northeast,Pennsylvania
RI,Northeast,Northeast,Rhode Island
VT,Northeast,Northeast,Vermont
ND,Midwest,Northern Plains,North Dakota
SD,Midwest,Northern Plains,South Dakota
MT,Midwest,Northern Plains,Montana
WY,Midwest,Northern Plains,Wyoming
ID,Northwest,Northern Plains,Idaho
MO,Midwest,Ozarks,Missouri
TN,Southeast,Ozarks,Tennessee
AR,Southeast,Ozarks,Arkansas
LA,Southeast,Ozarks,Louisiana
AL,Southeast,Ozarks,Alabama
MS,Southeast,Ozarks,Mississippi
OR,Northwest,Pacific Northwest,Oregon
WA,Northwest,Pacific Northwest,Washington
NV,Southwest,Pacific Southwest/Great Basin,Nevada
CA,Southwest,Pacific Southwest/Great Basin,California
IA,Midwest,Prairie Peninsula,Iowa
IL,Midwest,Prairie Peninsula,Illinois
IN,Midwest,Prairie Peninsula,Indiana
FL,Southeast,Southeast,Florida
GA,Southeast,Southeast,Georgia
TX,Southwest,Southern Plains,Texas
AZ,Southwest,Southern Rockies/Colorado Plateau,Arizona
CO,Southwest,Southern Rockies/Colorado Plateau,Colorado
NM,Southwest,Southern Rockies/Colorado Plateau,New Mexico
UT,Southwest,Southern Rockies/Colorado Plateau,Utah
